objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Star Wars: Armada","163745","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198134","7.16407","7.86386","3.1443","255","8976","thing","Star Wars: Armada","2","2","120","120","120","2015","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Wars: Destiny","205359","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198363","6.93506","7.56368","2.2877","444","7129","thing","Star Wars: Destiny","2","2","30","30","30","2016","2","2","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Wars: Imperial Assault","164153","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197857","7.75824","8.0351","3.2994","38","33545","thing","Star Wars: Imperial Assault","1","5","120","120","60","2014","2,3,4,5","2,5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Wars: Outer Rim","271896","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198197","7.09746","7.76937","2.4531","304","8576","thing","Star Wars: Outer Rim","1","4","180","180","120","2019","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Wars: Rebellion","187645","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197817","8.16052","8.42067","3.7064","8","32023","thing","Star Wars: Rebellion","2","4","240","240","180","2016","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Wars: The Card Game","103886","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198586","6.76544","7.21125","2.9594","625","9811","thing","Star Wars: The Card Game","2","2","60","60","30","2012","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Wars: X-Wing (Second Edition)","252328","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198618","6.73544","8.33361","3","654","2988","thing","Star Wars: X-Wing (Second Edition)","2","2","45","45","30","2018","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Wars: X-Wing Miniatures Game","103885","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197931","7.48442","7.70505","2.4833","100","37350","thing","Star Wars: X-Wing Miniatures Game","2","2","45","45","30","2012","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set","183562","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198318","6.97116","7.84507","2.8367","406","7652","thing","Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set","2","2","45","45","30","2015","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"StarCraft: The Board Game","22827","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198344","6.94767","7.33874","3.8373","429","8601","thing","StarCraft: The Board Game","2","6","240","240","180","2007","2,3,4,5,6","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Steam","27833","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198030","7.31348","7.6086","3.457","172","10185","thing","Steam","3","5","90","90","90","2009","3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Steampunk Rally","162007","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198460","6.8437","7.24022","2.5691","524","8086","thing","Steampunk Rally","2","8","60","60","45","2015","2,3,4,5,6,7","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Stockpile","161614","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198228","7.05788","7.53535","2.109","329","6304","thing","Stockpile","2","5","45","45","45","2015","3,4,5","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Stone Age","34635","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197935","7.46483","7.57424","2.4797","104","45791","thing","Stone Age","2","4","90","90","60","2008","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Struggle of Empires","9625","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198397","6.90703","7.48925","3.5962","473","4649","thing","Struggle of Empires","2","7","240","240","180","2004","4,5,6,7","5,6,7","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Stuffed Fables","233312","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198369","6.93127","7.58932","2.4176","450","10633","thing","Stuffed Fables","2","4","90","90","60","2018","1,2,3,4","4","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Suburbia","123260","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197978","7.38132","7.53004","2.7754","137","24209","thing","Suburbia","1","4","90","90","90","2012","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Summoner Wars","58281","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198416","6.88457","7.26217","2.3064","489","5684","thing","Summoner Wars","2","4","60","60","30","2009","2,4","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Summoner Wars: Alliances Master Set","158889","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198496","6.82011","8.13681","2.7333","554","3349","thing","Summoner Wars: Alliances Master Set","2","4","45","45","45","2014","2,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Summoner Wars: Guild Dwarves vs Cave Goblins","82420","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198598","6.75472","7.58316","2.2353","637","5310","thing","Summoner Wars: Guild Dwarves vs Cave Goblins","2","4","30","30","30","2009","2,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Summoner Wars: Master Set","93260","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198082","7.23409","7.52638","2.509","212","12838","thing","Summoner Wars: Master Set","2","4","60","60","30","2011","2,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Summoner Wars: Phoenix Elves vs Tundra Orcs","82421","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198587","6.76341","7.5303","2.3165","626","5609","thing","Summoner Wars: Phoenix Elves vs Tundra Orcs","2","4","30","30","30","2009","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Super Motherload","162286","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198534","6.79534","7.40618","2.2844","583","4368","thing","Super Motherload","2","4","75","75","60","2015","2,3,4","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Survive: Escape from Atlantis!","2653","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198156","7.13344","7.30357","1.7101","272","27854","thing","Survive: Escape from Atlantis!","2","4","60","60","45","1982","3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sushi Go Party!","192291","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198046","7.28991","7.47332","1.3072","184","35806","thing","Sushi Go Party!","2","8","20","20","20","2016","2,3,4,5,6,7,8","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Sushi Go!","133473","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198352","6.94302","7.05416","1.162","435","54808","thing","Sushi Go!","2","5","15","15","15","2013","3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sword & Sorcery","170771","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198221","7.06433","8.07179","4.0179","324","7308","thing","Sword & Sorcery","1","5","90","90","60","2017","1,2,3,4","1,2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"T.I.M.E Stories","146508","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197955","7.41579","7.59598","2.6102","120","33578","thing","T.I.M.E Stories","2","4","90","90","90","2015","2,3,4","4","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Tainted Grail: The Fall of Avalon","264220","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197950","7.43295","8.62684","3.2778","115","8087","thing","Tainted Grail: The Fall of Avalon","1","4","120","120","60","2019","1,2,3","1,2","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Taj Mahal","475","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198324","6.96368","7.292","2.9935","412","8165","thing","Taj Mahal","3","5","100","100","75","2000","3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tajemnicze Domostwo","113997","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198549","6.78517","7.19714","1.8615","595","4486","thing","Tajemnicze Domostwo","2","7","60","60","30","2013","2,3,4,5,6,7","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Takenoko","70919","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198149","7.15171","7.27867","1.9796","265","49940","thing","Takenoko","2","4","45","45","45","2011","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tales of the Arabian Nights","34119","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198332","6.95981","7.20251","2.1541","418","16316","thing","Tales of the Arabian Nights","1","6","120","120","120","2009","2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Taluva","24508","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198421","6.88252","7.17677","2.2734","493","7614","thing","Taluva","2","4","45","45","45","2006","2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tapestry","286096","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198121","7.17454","7.48782","2.8635","243","13397","thing","Tapestry","1","5","120","120","90","2019","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Targi","118048","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197966","7.40746","7.64378","2.3438","128","19729","thing","Targi","2","2","60","60","60","2012","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Tash-Kalar: Arena of Legends","146278","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198483","6.82948","7.18964","2.8413","541","7652","thing","Tash-Kalar: Arena of Legends","2","4","60","60","30","2013","2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Taverns of Tiefenthal","269207","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198205","7.07975","7.64184","2.625","310","8095","thing","The Taverns of Tiefenthal","2","4","60","60","60","2019","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Telestrations","46213","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198128","7.17054","7.40498","1.0853","249","16963","thing","Telestrations","4","8","30","30","30","2009","5,6,7,8","8","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Telestrations: 12 Player Party Pack","153016","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198516","6.80206","7.76949","1.0811","571","3909","thing","Telestrations: 12 Player Party Pack","4","12","30","30","30","2011","6,7,8,9,10,11,12","12","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Teotihuacan: City of Gods","229853","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197881","7.63245","7.96608","3.7515","60","15725","thing","Teotihuacan: City of Gods","1","4","120","120","90","2018","1,2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Terra Mystica","120677","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197828","8.00382","8.15737","3.9584","15","40815","thing","Terra Mystica","2","5","150","150","60","2012","2,3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Terraforming Mars","167791","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197810","8.28168","8.43093","3.2339","4","76667","thing","Terraforming Mars","1","5","120","120","120","2016","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"That's Pretty Clever!","244522","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197977","7.39084","7.64765","1.9055","136","18064","thing","That's Pretty Clever!","1","4","30","30","30","2018","1,2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Thebes","30869","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198403","6.89359","7.13921","2.1587","479","10789","thing","Thebes","2","4","60","60","60","2007","2,3,4","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"This War of Mine: The Board Game","188920","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197991","7.36687","7.85297","3.2261","147","14342","thing","This War of Mine: The Board Game","1","6","120","120","45","2017","1,2,3","1","16+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Through the Ages: A New Story of Civilization","182028","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197814","8.20852","8.45168","4.3998","6","24904","thing","Through the Ages: A New Story of Civilization","2","4","120","120","120","2015","2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Through the Ages: A Story of Civilization","25613","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197860","7.74035","7.94784","4.1732","41","17241","thing","Through the Ages: A Story of Civilization","2","4","120","120","120","2006","2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Through the Desert","503","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198409","6.88892","7.06692","2.2099","484","13527","thing","Through the Desert","2","5","45","45","45","1998","2,3,4,5","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Thunder Alley","108906","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198657","6.71053","7.33117","2.3854","687","3956","thing","Thunder Alley","2","7","90","90","90","2014","2,3,4,5,6,7","4,5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Thunderstone","53953","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198634","6.72917","6.94593","2.5016","668","10479","thing","Thunderstone","1","5","60","60","60","2009","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Thunderstone Advance: Towers of Ruin","116998","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198404","6.89359","7.38088","2.7386","480","6823","thing","Thunderstone Advance: Towers of Ruin","1","5","45","45","45","2012","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Thunderstone Quest","215341","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198234","7.05008","7.95677","2.7966","334","6315","thing","Thunderstone Quest","2","4","90","90","60","2018","2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Thurn and Taxis","21790","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198333","6.95972","7.10398","2.2616","419","19802","thing","Thurn and Taxis","2","4","60","60","60","2006","2,3,4","3,4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tichu","215","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198008","7.34045","7.58564","2.3419","159","19591","thing","Tichu","4","4","60","60","60","1991","4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ticket to Ride","9209","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198023","7.32354","7.42977","1.8518","167","91795","thing","Ticket to Ride","2","5","60","60","30","2004","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ticket to Ride: Europe","14996","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197949","7.43394","7.55044","1.9435","114","76663","thing","Ticket to Ride: Europe","2","5","60","60","30","2005","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ticket to Ride: Märklin","21348","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198186","7.10334","7.40861","2.2438","295","10818","thing","Ticket to Ride: Märklin","2","5","60","60","30","2006","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ticket to Ride: Nordic Countries","31627","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197996","7.36197","7.63958","1.9834","151","16418","thing","Ticket to Ride: Nordic Countries","2","3","60","60","30","2007","2,3","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tigris & Euphrates","42","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197911","7.53691","7.69727","3.5111","86","27574","thing","Tigris & Euphrates","2","4","90","90","90","1997","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tikal","54","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198132","7.16606","7.34211","2.8001","253","22274","thing","Tikal","2","4","90","90","90","1999","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Time's Up!","1353","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198429","6.87144","7.29139","1.2109","500","5070","thing","Time's Up!","4","18","90","90","90","1999","4,6,8,10,12","6,8","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Time's Up! Title Recall!","36553","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198294","6.99665","7.72545","1.191","386","4452","thing","Time's Up! Title Recall!","4","18","60","60","60","2008","4,6,8,9,10,12","6","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Tinners' Trail","35570","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198576","6.76976","7.27109","2.8276","618","3863","thing","Tinners' Trail","3","4","90","90","60","2008","3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tiny Epic Galaxies","163967","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198141","7.15799","7.3795","2.1671","260","26043","thing","Tiny Epic Galaxies","1","5","45","45","30","2015","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Tiny Epic Quest","201921","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198658","6.71013","7.09646","2.6542","688","15409","thing","Tiny Epic Quest","1","4","60","60","30","2017","1,2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Tiny Towns","265736","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198219","7.06471","7.40019","2.1104","323","12508","thing","Tiny Towns","1","6","60","60","45","2019","1,2,3,4,5","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Tobago","42215","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198399","6.90174","7.11524","2.1252","475","11595","thing","Tobago","2","4","60","60","60","2009","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tokaido","123540","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198461","6.84363","7.00317","1.7546","525","28688","thing","Tokaido","2","5","45","45","45","2012","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Too Many Bones","192135","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197877","7.64409","8.45339","3.8193","56","7612","thing","Too Many Bones","1","4","120","120","60","2017","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Too Many Bones: Undertow","235802","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198298","6.99396","8.83298","4.0441","389","4420","thing","Too Many Bones: Undertow","1","2","180","180","60","2018","1,2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Torres","88","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198445","6.86165","7.13394","2.8722","513","11384","thing","Torres","2","4","60","60","60","1999","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tragedy Looper","148319","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198633","6.72977","7.24585","3.5355","667","7944","thing","Tragedy Looper","2","4","120","120","120","2011","2,3,4","4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Trains","121408","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198407","6.89263","7.17935","2.389","482","9724","thing","Trains","2","4","45","45","45","2012","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Trajan","102680","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197915","7.53323","7.76939","3.6509","88","16482","thing","Trajan","2","4","120","120","60","2011","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tribune: Primus Inter Pares","30957","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198550","6.78502","7.23553","2.8765","596","4666","thing","Tribune: Primus Inter Pares","2","5","120","120","60","2007","3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Trickerion: Legends of Illusion","163068","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197967","7.40471","7.89645","4.2035","129","9609","thing","Trickerion: Legends of Illusion","2","4","180","180","60","2015","2,3,4","4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Triumph & Tragedy: European Balance of Power 1936-1945","130960","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198400","6.89815","8.18139","3.3125","476","2672","thing","Triumph & Tragedy: European Balance of Power 1936-1945","2","3","360","360","240","2015","3","3","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Troyes","73439","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197898","7.58004","7.77024","3.4585","75","20375","thing","Troyes","2","4","90","90","90","2010","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tumblin-Dice","16747","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198671","6.70389","7.17851","1.0455","700","3606","thing","Tumblin-Dice","2","4","45","45","45","2004","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Twice as Clever!","269210","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198322","6.96533","7.54242","2.3099","410","6908","thing","Twice as Clever!","1","4","30","30","30","2019","1,2,3,4","1,2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Twilight Imperium (Fourth Edition)","233078","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197811","8.21836","8.68966","4.2136","5","14597","thing","Twilight Imperium (Fourth Edition)","3","6","480","480","240","2017","3,4,5,6","6","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Twilight Imperium (Third Edition)","12493","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197892","7.59643","7.84543","4.2516","69","19843","thing","Twilight Imperium (Third Edition)","3","6","240","240","180","2005","4,5,6","6","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Twilight Struggle","12333","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197818","8.14508","8.3008","3.5799","9","53707","thing","Twilight Struggle","2","2","180","180","120","2005","2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Tyrants of the Underdark","189932","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198050","7.27488","7.8993","2.5882","187","6185","thing","Tyrants of the Underdark","2","4","60","60","60","2016","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"TZAAR","31999","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198317","6.97377","7.67875","2.5381","405","4642","thing","TZAAR","2","2","60","60","30","2007","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tzolk'in: The Mayan Calendar","126163","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197856","7.7593","7.90762","3.6633","37","33259","thing","Tzolk'in: The Mayan Calendar","2","4","90","90","90","2012","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Undaunted: Normandy","268864","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198270","7.01699","7.95333","2.2414","366","6432","thing","Undaunted: Normandy","2","2","60","60","45","2019","2","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Underwater Cities","247763","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197870","7.6687","8.11752","3.5733","50","10775","thing","Underwater Cities","1","4","150","150","80","2018","1,2,3","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Union Pacific","94","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198592","6.76041","7.2165","2.5508","631","4276","thing","Union Pacific","2","6","90","90","90","1999","3,4,5,6","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Up Front","586","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198457","6.84502","7.86199","3.4036","522","3603","thing","Up Front","2","3","60","60","60","1983","2","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Valeria: Card Kingdoms","170561","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198428","6.87416","7.45991","1.9895","499","6186","thing","Valeria: Card Kingdoms","1","5","45","45","30","2016","2,3,4","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Vasco da Gama","41002","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198540","6.79321","7.25491","3.2304","588","4798","thing","Vasco da Gama","2","4","120","120","60","2009","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
